line	FT	PH	GY	seqname
MG1151	63.2968092551195	284.728723013299	244.108364898535	MG1151-x-MG1522
MG767	61.7051672442606	267.221469632075	212.158217006441	MG767-x-MG1522
MG295	60.7501820377453	269.171667236596	220.004813161493	MG295-x-MG1522
MG1061	60.4318536355735	265.556232408123	223.954495894516	MG1061-x-MG1522
MG922	60.4318536355735	262.323713091041	217.411101331232	MG922-x-MG1522
MG157	61.5460030431747	270.551944079978	226.194853730903	MG157-x-MG1522
MG1080	62.9784808529478	252.572725068436	221.82769227166	MG1080-x-MG1522
MG1120	62.5009882496901	283.232681015311	250.387244940885	MG1120-x-MG1522
MG400	63.6151376572913	268.147590868925	234.008719553819	MG400-x-MG1522
MG320	62.5009882496901	267.862630488356	232.084977583397	MG320-x-MG1522
MG1396	61.7051672442606	272.965202302924	232.392241925895	MG1396-x-MG1522
MG90	62.3418240486042	273.267972707279	236.079414035871	MG90-x-MG1522
MG1291	62.9784808529477	265.921337895728	209.833695458847	MG1291-x-MG1522
MG410	62.0234956464324	263.525889696567	228.058478764749	MG410-x-MG1522
MG1439	62.3418240486042	250.684862547165	236.843567096344	MG1439-x-MG1522
MG1249	60.7501820377453	256.375165146657	218.437987674527	MG1249-x-MG1522
MG1078	61.7051672442606	285.824039476112	240.143318948388	MG1078-x-MG1522
MG59	59.4768684290582	243.026552319366	209.092475900854	MG59-x-MG1522
MG1186	63.9334660594631	247.692778551188	224.421181442146	MG1186-x-MG1522
MG832	65.0476154670643	279.643961222517	248.049364074053	MG832-x-MG1522
MG1224	62.660152450776	280.124831864727	240.856706595752	MG1224-x-MG1522
MG1116	64.092630260549	262.973778959214	239.242900831676	MG1116-x-MG1522
MG1254	63.2968092551195	273.3659278381	257.347450264427	MG1254-x-MG1522
MG700	61.3868388420888	258.788423369603	228.726444726702	MG700-x-MG1522
MG1246	60.9093462388312	270.988289662725	225.285084090724	MG1246-x-MG1522
MG847	61.3868388420888	274.67496458634	241.855983674833	MG847-x-MG1522
MG1228	62.660152450776	260.613950807625	217.340742245454	MG1228-x-MG1522
MG412	62.1826598475183	271.638355530899	236.213007228261	MG412-x-MG1522
MG387	63.6151376572913	NA	240.053811509486	MG387-x-MG1522
MG1468	61.3868388420888	253.329651079323	215.40185971768	MG1468-x-MG1522
MG1077	62.5009882496901	266.794029061221	234.062156830775	MG1077-x-MG1522
MG613	60.4318536355735	244.442449210319	200.590382477354	MG613-x-MG1522
MG903	61.8643314453465	263.59712979171	237.589017109883	MG903-x-MG1522
MG193	60.9093462388312	256.722460610476	218.026520641964	MG193-x-MG1522
MG454	63.6151376572913	261.531167032583	231.577323452313	MG454-x-MG1522
MG230	60.7501820377453	260.774241021695	213.916303418299	MG230-x-MG1522
MG74	63.7743018583772	254.193437232924	197.370786540744	MG74-x-MG1522
MG620	62.3418240486042	NA	252.258885566275	MG620-x-MG1522
MG1316	NA	NA	NA	MG1316-x-MG1522
MG837	61.8643314453465	259.572064416169	206.95342623091	MG837-x-MG1522
MG1194	63.1376450540336	267.595480131572	242.061717191114	MG1194-x-MG1522
MG590	62.9784808529478	261.638027175296	244.204551997057	MG590-x-MG1522
MG356	61.3868388420888	253.098120770111	215.726491175189	MG356-x-MG1522
MG190	62.3418240486042	256.00115464716	226.049237151197	MG190-x-MG1522
MG268	62.9784808529478	276.491587012469	249.144828251655	MG268-x-MG1522
MG650	61.3868388420888	267.043369394219	222.52682997405	MG650-x-MG1522
MG397	62.1826598475183	250.070416726562	219.500498860219	MG397-x-MG1522
MG1114	61.5460030431747	248.253794300433	199.234411574591	MG1114-x-MG1522
MG572	61.227674641003	252.643965163579	217.786943508038	MG572-x-MG1522
MG217	61.5460030431747	261.370876818512	234.721216575448	MG217-x-MG1522
MG160	63.4559734562054	253.231695948503	218.576033968877	MG160-x-MG1522
MG886	64.092630260549	269.038092058204	233.140363803281	MG886-x-MG1522
MG939	62.660152450776	263.793040053351	222.960562543131	MG939-x-MG1522
MG843	61.8643314453465	274.407814229556	231.991462348724	MG843-x-MG1522
MG914	61.0685104399171	275.360650502085	232.010165395658	MG914-x-MG1522
MG1425	61.7051672442606	267.666720226715	232.396695027855	MG1425-x-MG1522
MG1221	62.1826598475183	259.83030976106	231.638776320813	MG1221-x-MG1522
MG523	61.3868388420888	269.510057688522	234.177046976231	MG523-x-MG1522
MG534	62.5009882496901	267.996205666748	255.573332669482	MG534-x-MG1522
MG1276	63.4559734562054	258.574703084176	230.516593504733	MG1276-x-MG1522
MG1481	62.0234956464324	275.004450026373	254.723679965879	MG1481-x-MG1522
MG729	61.8643314453465	281.994884362213	238.350498306508	MG729-x-MG1522
MG1269	62.5009882496901	271.433540257365	235.18968337455	MG1269-x-MG1522
MG910	63.7743018583772	261.468831949333	230.081207547387	MG910-x-MG1522
MG53	62.3418240486042	255.003793315168	210.754597860606	MG53-x-MG1522
MG1308	61.227674641003	251.771273998085	218.08441102088	MG1308-x-MG1522
MG640	62.3418240486042	250.488952285524	223.249123838694	MG640-x-MG1522
MG724	62.8193166518619	263.810850077137	232.939974014696	MG724-x-MG1522
MG1094	61.5460030431747	265.582947443802	235.75077478259	MG1094-x-MG1522
MG759	63.6151376572913	258.690468238783	244.06561507697	MG759-x-MG1522
MG448	62.0234956464324	256.099109777981	214.346473497796	MG448-x-MG1522
